Date,Location,NewCases,NewDeaths,NewRecovered,TotalCases,TotalDeaths,TotalRecovered,TotalActiveCases,Island,Time Zone
2021-05-01,Aceh,124,2,118,11169,441,9727,1001,Sumatera,UTC+07:00
2021-05-01,Bali,142,10,165,44813,1346,42135,1332,Nusa Tenggara,UTC+08:00
2021-05-01,Banten,53,0,28,47396,1210,44202,1984,Jawa,UTC+07:00
2021-05-01,Bengkulu,102,0,40,6884,172,5885,827,Sumatera,UTC+07:00
2021-05-01,DKI Jakarta,926,15,793,409540,6681,395727,7132,Jawa,UTC+07:00
2021-05-01,Daerah Istimewa Yogyakarta,128,4,330,39644,960,34735,3949,Jawa,UTC+07:00
2021-05-01,Gorontalo,6,4,49,5400,165,5082,153,Sulawesi,UTC+08:00
2021-05-01,Jambi,60,3,50,7730,114,6215,1401,Sumatera,UTC+07:00
2021-05-01,Jawa Barat,782,6,590,283457,3770,248349,31338,Jawa,UTC+07:00
2021-05-01,Jawa Tengah,202,20,231,184969,8434,165671,10864,Jawa,UTC+07:00
2021-05-01,Jawa Timur,231,20,202,147962,10710,135201,2051,Jawa,UTC+07:00
2021-05-01,Kalimantan Barat,98,0,68,7836,44,6829,963,Kalimantan,UTC+07:00
2021-05-01,Kalimantan Selatan,88,4,99,33046,945,29939,2162,Kalimantan,UTC+08:00
2021-05-01,Kalimantan Tengah,108,1,12,20179,448,16993,2738,Kalimantan,UTC+07:00
2021-05-01,Kalimantan Timur,137,1,192,68764,1641,65386,1737,Kalimantan,UTC+08:00
2021-05-01,Kalimantan Utara,7,0,7,11752,186,11034,532,Kalimantan,UTC+08:00
2021-05-01,Kepulauan Bangka Belitung,200,2,142,13646,213,11747,1686,Sumatera,UTC+07:00
2021-05-01,Kepulauan Riau,180,1,111,11355,257,9752,1346,Sumatera,UTC+07:00
2021-05-01,Lampung,66,0,35,16041,817,13927,1297,Sumatera,UTC+07:00
2021-05-01,Maluku,0,0,3,7530,117,7130,283,Maluku,UTC+09:00
2021-05-01,Maluku Utara,0,0,0,4417,120,4149,148,Maluku,UTC+09:00
2021-05-01,Nusa Tenggara Barat,18,0,35,10459,379,7877,2203,Nusa Tenggara,UTC+08:00
2021-05-01,Nusa Tenggara Timur,31,0,20,14384,374,12563,1447,Nusa Tenggara,UTC+08:00
2021-05-01,Papua,0,0,9,20365,260,11325,8780,Papua,UTC+09:00
2021-05-01,Papua Barat,32,0,32,8974,151,8546,277,Papua,UTC+09:00
2021-05-01,Riau,377,15,333,44655,1100,38658,4897,Sumatera,UTC+07:00
2021-05-01,Sulawesi Barat,3,0,0,5450,118,5253,79,Sulawesi,UTC+08:00
2021-05-01,Sulawesi Selatan,25,0,16,61519,932,60230,357,Sulawesi,UTC+08:00
2021-05-01,Sulawesi Tengah,20,2,25,12302,334,11213,755,Sulawesi,UTC+08:00
2021-05-01,Sulawesi Tenggara,7,1,1,10427,210,9885,332,Sulawesi,UTC+08:00
2021-05-01,Sulawesi Utara,6,0,16,15655,504,13082,2069,Sulawesi,UTC+08:00
2021-05-01,Sumatera Barat,179,8,333,37110,803,34007,2300,Sumatera,UTC+07:00
2021-05-01,Sumatera Selatan,147,5,74,20595,997,18087,1511,Sumatera,UTC+07:00
2021-05-01,Sumatera Utara,59,4,56,29458,974,26172,2312,Sumatera,UTC+07:00
2021-05-02,Aceh,68,7,52,11237,448,9779,1010,Sumatera,UTC+07:00
2021-05-02,Bali,86,5,61,44899,1351,42196,1352,Nusa Tenggara,UTC+08:00
